日期,,1号线,2号线,3号线,4号线,5号线,6号线,7号线,8号线,9号线,10号线,11号线,12号线,13号线,16号线,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.3.16,10010129,1252154,1565576,546997,859171,148195,427331,798638,990853,881868,762678,734642,553341,356630,132055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.3.16,10023305,1221187,1572825,552681,869780,149068,433229,828321,975036,875765,757340,746605,556043,349789,135636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3.16,10231089,1249780,1609096,567802,882028,150468,436400,844488,996192,896432,779619,757867,565575,353346,141996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.3.16,11165863,1389450,1757861,618014,957762,173199,469660,886846,1099847,970815,855553,831099,606174,373754,175829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.3.16,8328382,1078857,1268169,459178,627717,131189,330730,644943,922916,708525,686025,641328,411971,273137,143697,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.3.16,6809758,890689,1042422,391033,516753,108987,273144,505097,724082,564801,548222,555998,336212,220433,131885,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.3.16,10318794,1273201,1593347,579237,887406,157872,442734,828478,1006785,914623,783186,776969,573104,352979,148873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.3.16,10575134,1296191,1653544,582824,918453,157468,450723,881026,1027671,925256,806653,782521,582756,361954,148094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.3.16,10678581,1299637,1720032,590016,908219,158258,446428,890077,1026045,927640,828714,785509,585413,362155,150438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.3.16,10405209,1268154,1674135,577470,885442,153604,438147,844294,1002835,908964,808905,766259,574031,355567,147402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.3.16,10910587,1355417,1734203,608943,917577,167131,466290,848657,1049387,955581,845497,813554,601135,368481,178734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.3.16,8055049,1048420,1219385,455583,618520,130293,320833,628960,829823,689319,669652,629907,405710,266524,142120,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.3.16,7715096,992894,1191438,453530,570910,125839,295607,632089,772514,645561,636001,621611,377822,246024,153256,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3.16,10412665,1283007,1594916,589175,890683,159455,442627,857110,1009178,916641,793077,786661,580289,356337,153509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.3.16,10264348,1256832,1590441,574448,882512,153847,436842,845263,998827,900859,786502,764853,573444,354147,145531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.3.16,10376181,1264005,1637794,577799,885514,155660,442085,849660,1001101,905913,799662,770681,581883,357865,146559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.3.16,10432426,1277459,1632325,584086,890705,157666,442029,857429,1009505,904842,809559,776728,581262,359635,149196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.3.16,11072926,1384088,1733286,625432,928674,170812,465608,869390,1076760,963400,858484,830216,613479,374547,178750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.3.16,8564081,1103956,1287819,497201,648525,149045,339159,676951,861905,721882,702529,703468,435827,279291,156523,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
